filename,width,height,class,xmin,ymin,xmax,ymax
99_jpg.rf.fca317e1af2356e5199a1cc33424f96d.jpg,416,416,Potholes,335,221,416,375
10_jpg.rf.fc8f5d862ffd58ecd637fe296922ed43.jpg,416,416,Potholes,0,188,68,267
10_jpg.rf.fc8f5d862ffd58ecd637fe296922ed43.jpg,416,416,Potholes,0,301,53,382
10_jpg.rf.fc8f5d862ffd58ecd637fe296922ed43.jpg,416,416,Potholes,51,356,148,415
10_jpg.rf.fc8f5d862ffd58ecd637fe296922ed43.jpg,416,416,Potholes,187,368,261,415
34_jpg.rf.f7fb14b1a331f553eecd78929b44e94d.jpg,416,416,Potholes,286,89,415,172
208_jpg.rf.fb18dafbf5d95e549d4997f9b534a597.jpg,416,416,Potholes,164,246,232,286
208_jpg.rf.fb18dafbf5d95e549d4997f9b534a597.jpg,416,416,Potholes,99,256,147,286
208_jpg.rf.fb18dafbf5d95e549d4997f9b534a597.jpg,416,416,Potholes,134,270,220,314
208_jpg.rf.fb18dafbf5d95e549d4997f9b534a597.jpg,416,416,Potholes,122,313,203,355
208_jpg.rf.fb18dafbf5d95e549d4997f9b534a597.jpg,416,416,Potholes,54,374,292,416
42_jpg.rf.fbb2cffb8ea38dc18e90bc5c645621ce.jpg,416,416,Potholes,89,317,301,380
42_jpg.rf.fbb2cffb8ea38dc18e90bc5c645621ce.jpg,416,416,Potholes,179,185,204,196
42_jpg.rf.fbb2cffb8ea38dc18e90bc5c645621ce.jpg,416,416,Potholes,200,193,229,196
42_jpg.rf.fbb2cffb8ea38dc18e90bc5c645621ce.jpg,416,416,Potholes,175,186,222,204
5_jpg.rf.fdae2666da0b868d7c5d644d0c077c1c.jpg,416,416,Potholes,161,206,230,322
101_jpg.rf.fed60fcbef674eb58823cfdcf58ceeca.jpg,416,416,Potholes,103,316,177,362
60_jpg.rf.fdd21b3347da6c290b41b681d5194859.jpg,416,416,Potholes,106,145,266,355
210_jpg.rf.f8c4a0d58a4444e67c7dd18ec657560b.jpg,416,416,Potholes,0,122,202,232
210_jpg.rf.f8c4a0d58a4444e67c7dd18ec657560b.jpg,416,416,Potholes,205,214,272,282
210_jpg.rf.f8c4a0d58a4444e67c7dd18ec657560b.jpg,416,416,Potholes,128,277,208,320
210_jpg.rf.f8c4a0d58a4444e67c7dd18ec657560b.jpg,416,416,Potholes,305,244,416,410
196_jpg.rf.fbae74a4d8d8783277b13a2672a93ed9.jpg,416,416,Potholes,308,163,415,239
113_jpg.rf.f8250b9332ad2f3b111d04b068e78bd1.jpg,416,416,Potholes,118,177,235,272
240_jpg.rf.f7d425db4b4109a4923d3bdb7e553df5.jpg,416,416,Potholes,279,76,380,126
240_jpg.rf.f7d425db4b4109a4923d3bdb7e553df5.jpg,416,416,Potholes,285,155,387,200
240_jpg.rf.f7d425db4b4109a4923d3bdb7e553df5.jpg,416,416,Potholes,40,179,140,217
104_jpg.rf.fb5d42881c50e4fa2e910a8d4abc3b96.jpg,416,416,Potholes,138,220,314,351
87_jpg.rf.fdb8a9603cfcdaa4dc39fa4e4b876842.jpg,416,416,Potholes,97,93,288,249
81_jpg.rf.fb79a7de7a9e16405332e55cbfbb891d.jpg,416,416,Potholes,213,264,274,299
81_jpg.rf.fb79a7de7a9e16405332e55cbfbb891d.jpg,416,416,Potholes,69,264,150,311
81_jpg.rf.fb79a7de7a9e16405332e55cbfbb891d.jpg,416,416,Potholes,160,283,204,324
81_jpg.rf.fb79a7de7a9e16405332e55cbfbb891d.jpg,416,416,Potholes,33,330,109,363
81_jpg.rf.fb79a7de7a9e16405332e55cbfbb891d.jpg,416,416,Potholes,278,323,344,415
40_jpg.rf.fc1f1d54358b3714191dca24fac6d201.jpg,416,416,Potholes,239,88,350,126
40_jpg.rf.fc1f1d54358b3714191dca24fac6d201.jpg,416,416,Potholes,294,142,373,212
40_jpg.rf.fc1f1d54358b3714191dca24fac6d201.jpg,416,416,Potholes,387,128,416,245
40_jpg.rf.fc1f1d54358b3714191dca24fac6d201.jpg,416,416,Potholes,0,217,45,338
40_jpg.rf.fc1f1d54358b3714191dca24fac6d201.jpg,416,416,Potholes,114,258,253,415
40_jpg.rf.fc1f1d54358b3714191dca24fac6d201.jpg,416,416,Potholes,282,261,416,415
148_jpg.rf.fb89249df8e711fd76b2820dabbd712a.jpg,416,416,Potholes,113,161,273,294
148_jpg.rf.fb89249df8e711fd76b2820dabbd712a.jpg,416,416,Potholes,140,0,258,46
58_jpg.rf.fc0310aa15342e3851742c540d882dab.jpg,416,416,Potholes,283,95,346,124
58_jpg.rf.fc0310aa15342e3851742c540d882dab.jpg,416,416,Potholes,170,199,249,348
18_jpg.rf.001e48ace107276d90d2313ed7f63e98.jpg,416,416,Potholes,111,250,253,329

49_jpg.rf.01095864a2457fee91163b50bbae00cb.jpg,416,416,Potholes,178,116,240,416
205_jpg.rf.02b1a5dacc015b9fc5accc2d710463ce.jpg,416,416,Potholes,123,267,270,362
